,contributors,coordinates,created_at,entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,metadata,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,source,text,truncated,user
is_quote_status,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,False,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
is_translation_enabled,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
is_translator,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
iso_language_code,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,en,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
lang,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,en,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,en
listed_count,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,1
location,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,"Cambridge, MA"
metadata,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,"{'iso_language_code': 'en', 'result_type': 'recent'}",970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
name,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,Jim Bales
notifications,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
place,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
profile_background_color,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,C0DEED
profile_background_image_url,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,http://abs.twimg.com/images/themes/theme1/bg.png
profile_background_image_url_https,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,https://abs.twimg.com/images/themes/theme1/bg.png
profile_background_tile,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
profile_image_url,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,http://pbs.twimg.com/profile_images/1590423212/Img0407_normal.JPG
profile_image_url_https,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,https://pbs.twimg.com/profile_images/1590423212/Img0407_normal.JPG
profile_link_color,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,1DA1F2
profile_sidebar_border_color,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,C0DEED
profile_sidebar_fill_color,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,DDEEF6
profile_text_color,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,333333
profile_use_background_image,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,True
protected,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
result_type,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,recent,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
retweet_count,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,0,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
retweeted,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,False,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
screen_name,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,jameswbales
source,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
statuses_count,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,157
symbols,,,2018-03-04 05:14:48,[],2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
text,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,It's clear that the Administration is weakening our country on many fronts. We have three branches for this reason.… https://t.co/L5AGrFyNyC,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
time_zone,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,Eastern Time (US & Canada)
translator_type,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,none
truncated,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,True,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
url,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
urls,,,2018-03-04 05:14:48,"[{'display_url': 'twitter.com/i/web/status/9…', 'expanded_url': 'https://twitter.com/i/web/status/970165643650662405', 'indices': [117, 140], 'url': 'https://t.co/8Y7TM844tC'}]",2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
user,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,"{'contributors_enabled': False, 'created_at': 'Tue Apr 24 15:36:38 +0000 2007', 'default_profile': False, 'default_profile_image': False, 'description': 'Conscious communication teacher and facilitator @SoulCoLeader. Also: dad, Korean language enthusiast, ambient music experimenter, aspiring doodler, casual gamer', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'about.me/charlesstarrett', 'expanded_url': 'http://about.me/charlesstarrett', 'indices': [0, 22], 'url': 'http://t.co/sKp9V3vFnv'}]}}, 'favourites_count': 2856, 'follow_request_sent': None, 'followers_count': 1114, 'following': None, 'friends_count': 1239, 'geo_enabled': False, 'has_extended_profile': False, 'id': 5468172, 'id_str': '5468172', 'is_translation_enabled': False, 'is_translator': False, 'lang': 'en', 'listed_count': 60, 'location': 'Greater Boston, MA, USA', 'name': 'Charles Starrett', 'notifications': None, 'profile_background_color': 'C6E2EE', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme2/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme2/bg.gif', 'profile_background_tile': False, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/5468172/1372090742', 'profile_image_url': 'http://pbs.twimg.com/profile_images/646891307047088128/qaXAjbiU_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/646891307047088128/qaXAjbiU_normal.jpg', 'profile_link_color': '1F98C7', 'profile_sidebar_border_color': 'C6E2EE', 'profile_sidebar_fill_color': 'DAECF4', 'profile_text_color': '663B12', 'profile_use_background_image': True, 'protected': False, 'screen_name': 'cstarrett', 'statuses_count': 13988, 'time_zone': 'Eastern Time (US & Canada)', 'translator_type': 'none', 'url': 'http://t.co/sKp9V3vFnv', 'utc_offset': -18000, 'verified': False}",970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
user_mentions,,,2018-03-04 05:14:48,[],2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
utc_offset,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,-18000
verified,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
